ET3_small_LOCA												
TK	K-3	SA-1	HH-2	L-1	OP-1	CF-1	R-2	CS-1	NA-1	RS		
s	s	s	s	s	n	s	s	n	n	n	SUCCESS	1
s	s	s	s	s	n	s	f	s	s	n	SLFC	2
s	s	s	s	s	n	s	f	s	f	n	SLFC	3
s	s	s	s	s	n	s	f	f	n	n	SLF	4
s	s	s	s	s	n	f	s	n	n	n	SUCCESS	5
s	s	s	s	s	n	f	f	s	s	n	SLC	6
s	s	s	s	s	n	f	f	s	f	n	SLC	7
s	s	s	s	s	n	f	f	f	n	n	SL	8
s	s	s	s	f	s	s	s	n	n	n	SUCCESS	9
s	s	s	s	f	s	s	f	s	s	n	SLFC	10
s	s	s	s	f	s	s	f	s	f	n	SLFC	11
s	s	s	s	f	s	s	f	f	n	n	SLF	12
s	s	s	s	f	s	f	s	n	n	n	SUCCESS	13
s	s	s	s	f	s	f	f	s	s	n	SLC	14
s	s	s	s	f	s	f	f	s	f	n	SLC	15
s	s	s	s	f	s	f	f	f	n	n	SL	16
s	s	s	s	f	f	s	s	s	s	s	SEFC	17
s	s	s	s	f	f	s	s	s	s	f	SEFC	18
s	s	s	s	f	f	s	s	s	f	s	SEFC	19
s	s	s	s	f	f	s	s	s	f	f	SEFC	20
s	s	s	s	f	f	s	s	f	n	s	SEF	21
s	s	s	s	f	f	s	s	f	n	f	SEF	22
s	s	s	s	f	f	s	f	s	s	n	SEFC	23
s	s	s	s	f	f	s	f	s	f	n	SEFC	24
s	s	s	s	f	f	s	f	f	n	n	SEF	25
s	s	s	s	f	f	f	s	s	s	s	SEC	26
s	s	s	s	f	f	f	s	s	s	f	SEC	27
s	s	s	s	f	f	f	s	s	f	s	SEC	28
s	s	s	s	f	f	f	s	s	f	f	SEC	29
s	s	s	s	f	f	f	s	f	n	s	SE	30
s	s	s	s	f	f	f	s	f	n	f	SE	31
s	s	s	s	f	f	f	f	s	s	n	SEC	32
s	s	s	s	f	f	f	f	s	f	n	SEC	33
s	s	s	s	f	f	f	f	f	n	n	SE	34
s	s	s	f	n	n	s	n	s	s	n	SEFC	35
s	s	s	f	n	n	s	n	s	f	n	SEFC	36
s	s	s	f	n	n	s	n	f	n	n	SEF	37
s	s	s	f	n	n	f	n	s	s	n	SEC	38
s	s	s	f	n	n	f	n	s	f	n	SEC	39
s	s	s	f	n	n	f	n	f	n	n	SE	40
s	s	f	n	n	n	n	n	s	s	n	SEC	41
s	s	f	n	n	n	n	n	s	f	n	SEC	42
s	s	f	n	n	n	n	n	f	n	n	SE	43
s	f	n	n	n	n	n	n	n	n	n	ATWS	44
f	n	s	n	s	n	s	n	n	n	n	SEF	45
f	n	s	n	s	n	f	n	n	n	n	SE	46
f	n	s	n	f	n	s	n	n	n	n	SEF	47
f	n	s	n	f	n	f	n	n	n	n	SE	48
f	n	f	n	n	n	n	n	n	n	n	SE	49
