ET7_loss_of_main_feedwater	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
K-3	TT-1	MS-2	L-1	OP-2	R-3	CF-2	CS-2	NA-2		
s	s	n	s	n	n	n	n	n	SUCCESS	01
s	s	n	f	s	s	n	n	n	SUCCESS	02
s	s	n	f	s	f	s	s	s	SLFC	03
s	s	n	f	s	f	s	s	f	SLFC	04
s	s	n	f	s	f	s	f	n	SLF	05
s	s	n	f	s	f	f	s	s	SLC	06
s	s	n	f	s	f	f	s	f	SLC	07
s	s	n	f	s	f	f	f	n	SL	08
s	s	n	f	f	n	s	s	s	TEFC	09
s	s	n	f	f	n	s	s	f	TEFC	10
s	s	n	f	f	n	s	f	n	TEF	11
s	s	n	f	f	n	f	s	s	TEC	12
s	s	n	f	f	n	f	s	f	TEC	13
s	s	n	f	f	n	f	f	n	TE	14
s	f	s	s	n	n	n	n	n	SUCCESS	15
s	f	s	f	s	s	n	n	n	SUCCESS	16
s	f	s	f	s	f	s	s	s	SLFC	17
s	f	s	f	s	f	s	s	f	SLFC	18
s	f	s	f	s	f	s	f	n	SLF	19
s	f	s	f	s	f	f	s	s	SLC	20
s	f	s	f	s	f	f	s	f	SLC	21
s	f	s	f	s	f	f	f	n	SL	22
s	f	s	f	f	n	s	s	s	TEFC	23
s	f	s	f	f	n	s	s	f	TEFC	24
s	f	s	f	f	n	s	f	n	TEF	25
s	f	s	f	f	n	f	s	s	TEC	26
s	f	s	f	f	n	f	s	f	TEC	27
s	f	s	f	f	n	f	f	n	TE	28
s	f	f	n	s	s	n	n	n	SUCCESS	29
s	f	f	n	s	f	s	s	s	SLFC	30
s	f	f	n	s	f	s	s	f	SLFC	31
s	f	f	n	s	f	s	f	n	SLF	32
s	f	f	n	s	f	f	s	s	SLC	33
s	f	f	n	s	f	f	s	f	SLC	34
s	f	f	n	s	f	f	f	n	SL	35
s	f	f	n	f	n	s	s	s	TEFC	36
s	f	f	n	f	n	s	s	f	TEFC	37
s	f	f	n	f	n	s	f	n	TEF	38
s	f	f	n	f	n	f	s	s	TEC	39
s	f	f	n	f	n	f	s	f	TEC	40
s	f	f	n	f	n	f	f	n	TE	41
f	n	n	n	n	n	n	n	n	ATWS	42
