ET8_steam_line_break_outside_cont										
SA-2	K-3	MS-1	L-1	OP-1	R-3	CF-2	CS-2	NA-2		
s	s	s	s	n	n	n	n	n	SUCCESS	01
s	s	s	f	s	s	n	n	n	SUCCESS	02
s	s	s	f	s	f	s	s	s	SLFC	03
s	s	s	f	s	f	s	s	f	SLFC	04
s	s	s	f	s	f	s	f	n	SLF	05
s	s	s	f	s	f	f	s	s	SLC	06
s	s	s	f	s	f	f	s	f	SLC	07
s	s	s	f	s	f	f	f	n	SL	08
s	s	s	f	f	n	s	s	s	TEFC	09
s	s	s	f	f	n	s	s	f	TEFC	10
s	s	s	f	f	n	s	f	n	TEF	11
s	s	s	f	f	n	f	s	s	TEC	12
s	s	s	f	f	n	f	s	f	TEC	13
s	s	s	f	f	n	f	f	n	TE	14
s	s	f	n	s	s	n	n	n	SUCCESS	15
s	s	f	n	s	f	s	s	s	SLFC	16
s	s	f	n	s	f	s	s	f	SLFC	17
s	s	f	n	s	f	s	f	n	SLF	18
s	s	f	n	s	f	f	s	s	SLC	19
s	s	f	n	s	f	f	s	f	SLC	20
s	s	f	n	s	f	f	f	n	SL	21
s	s	f	n	f	n	s	s	s	TEFC	22
s	s	f	n	f	n	s	s	f	TEFC	23
s	s	f	n	f	n	s	f	n	TEF	24
s	s	f	n	f	n	f	s	s	TEC	25
s	s	f	n	f	n	f	s	f	TEC	26
s	s	f	n	f	n	f	f	n	TE	27
s	f	n	n	n	n	n	n	n	ATWS	28
f	s	s	s	n	n	n	n	n	SUCCESS	29
f	s	s	f	n	n	s	s	s	TEFC	30
f	s	s	f	n	n	s	s	f	TEFC	31
f	s	s	f	n	n	s	f	n	TEF	32
f	s	s	f	n	n	f	s	s	TEC	33
f	s	s	f	n	n	f	s	f	TEC	34
f	s	s	f	n	n	f	f	n	TE	35
f	s	f	n	n	n	s	s	s	TEFC	36
f	s	f	n	n	n	s	s	f	TEFC	37
f	s	f	n	n	n	s	f	n	TEF	38
f	s	f	n	n	n	f	s	s	TEC	39
f	s	f	n	n	n	f	s	f	TEC	40
f	s	f	n	n	n	f	f	n	TE	41
f	f	n	n	n	n	n	n	n	ATWS	42
