	Z-1	2	2R	2RW	Z-3	5R	Z-5	6	7	8A	8B	2RV
SEFC	0	1.00E-04	0	0	1.78E-07	9.00E-05	8.88E-06	0.00E+00	2.49E-04	0.00E+00	1.00E+00	0.00E+00
SEF	1.78E-07	1.09E-04	9.00E-05	1.63E-07	0.00E+00	0.00E+00	0.00E+00	2.49E-04	0.00E+00	1.00E+00	0.00E+00	0.00E+00
SEC	0	1.00E-04	0	0	1.78E-07	9.00E-05	8.88E-06	0.00E+00	2.49E-04	0.00E+00	1.00E+00	0.00E+00
SE	2.19E-06	2.00E-04	0	1.00E+00	0.00E+00	0.00E+00	0.00E+00	1.90E-04	0.00E+00	1.00E-04	0.00E+00	0.00E+00
SLFC	0	1.00E-04	0	0	8.82E-08	9.00E-05	8.88E-06	0.00E+00	2.49E-04	0.00E+00	1.00E+00	0.00E+00
SLF	8.82E-08	1.09E-04	9.00E-05	1.56E-07	0.00E+00	0.00E+00	0.00E+00	2.49E-04	0.00E+00	1.00E+00	0.00E+00	0.00E+00
SLC	0	1.00E-04	0	0	8.82E-08	9.00E-05	8.88E-06	0.00E+00	2.49E-04	0.00E+00	1.00E+00	0.00E+00
SL	2.19E-06	2.00E-04	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.90E-04	0.00E+00	1.00E-04	0.00E+00	0.00E+00
TEFC	0	1.00E-04	0	0	1.98E-07	1.00E-04	9.87E-06	0.00E+00	2.68E-04	0.00E+00	1.00E+00	0.00E+00
TEF	1.98E-07	1.10E-04	1.00E-04	1.81E-07	0.00E+00	0.00E+00	0.00E+00	2.77E-04	0.00E+00	1.00E+00	0.00E+00	0.00E+00
TEC	0	1.00E-04	0	0	1.98E-07	1.00E-04	9.87E-06	0.00E+00	2.68E-04	0.00E+00	1.00E+00	0.00E+00
TE	2.19E-06	2.00E-04	0.00E+00	1.00E+00	0.00E+00	0.00E+00	0.00E+00	1.90E-04	0.00E+00	1.00E-04	0.00E+00	0.00E+00
AEFC	0	1.00E-04	0	0	1.98E-06	1.00E-04	1.98E-10	0.00E+00	1.90E-04	0.00E+00	1.00E+00	0.00E+00
AEF	1.98E-06	1.00E-04	1.00E-04	1.01E-08	0.00E+00	0.00E+00	0.00E+00	1.90E-04	0.00E+00	1.00E+00	0.00E+00	0.00E+00
AEC	0	1.00E-04	0	0	1.98E-06	1.00E-04	1.98E-10	0.00E+00	1.90E-04	0.00E+00	1.00E+00	0.00E+00
AE	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ALFC	0	1.00E-04	0	0	1.98E-06	1.00E-04	2.18E-10	0.00E+00	1.90E-04	0.00E+00	1.00E+00	0.00E+00
ALF	1.98E-06	1.00E-04	1.00E-04	1.50E-08	0.00E+00	0.00E+00	0.00E+00	1.90E-04	0.00E+00	1.00E+00	0.00E+00	0.00E+00
ALC	0	1.00E-04	0	0	1.98E-06	1.00E-04	2.18E-10	0.00E+00	1.90E-04	0.00E+00	1.00E+00	0.00E+00
AL	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
VE	0	1.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
